timestamp_ns,thread_id,event,callee_addr,callee_func,callee_fileline,caller_addr,caller_func,caller_fileline
1751729557633352065,51361,EXIT,0x4077ed,"std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1309,0x406ef0,"std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1321
1751729557633361083,51361,EXIT,0x406ec0,"std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1320,0x406094,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()",/usr/include/c++/9/bits/unique_ptr.h:153
1751729557633367949,51361,EXIT,0x406064,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()",/usr/include/c++/9/bits/unique_ptr.h:153,0x406e7c,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::__uniq_ptr_impl(std::thread::_State*)",/usr/include/c++/9/bits/unique_ptr.h:147 (discriminator 1)
1751729557633374926,51361,EXIT,0x406e38,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::__uniq_ptr_impl(std::thread::_State*)",/usr/include/c++/9/bits/unique_ptr.h:147,0x40604e,"std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::unique_ptr<std::default_delete<std::thread::_State>, void>(std::thread::_State*)",/usr/include/c++/9/bits/unique_ptr.h:212
1751729557633382160,51361,EXIT,0x406014,"std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::unique_ptr<std::default_delete<std::thread::_State>, void>(std::thread::_State*)",/usr/include/c++/9/bits/unique_ptr.h:211,0x40529e,"std::unique_ptr<std::thread::_State, std::default_delete<std::unique_ptr> > std::thread::_S_make_state<std::thread::_Invoker<std::tuple<Worker::start()::{lambda()#1}> > >(std::thread::_Invoker<std::tuple<Worker::start()::{lambda()#1}> >&&)",/usr/include/c++/9/thread:206
1751729557633386487,51361,EXIT,0x40523e,"std::unique_ptr<std::thread::_State, std::default_delete<std::unique_ptr> > std::thread::_S_make_state<std::thread::_Invoker<std::tuple<Worker::start()::{lambda()#1}> > >(std::thread::_Invoker<std::tuple<Worker::start()::{lambda()#1}> >&&)",/usr/include/c++/9/thread:203,0x40426f,"std::thread::thread<Worker::start()::{lambda()#1}, , void>(Worker::start()::{lambda()#1}&&)",/usr/include/c++/9/thread:130 (discriminator 3)
1751729557633451384,51361,ENTER,0x4052e6,"std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()",/usr/include/c++/9/bits/unique_ptr.h:286,0x404292,"std::thread::thread<Worker::start()::{lambda()#1}, , void>(Worker::start()::{lambda()#1}&&)",/usr/include/c++/9/thread:130 (discriminator 5)
1751729557633464036,51361,ENTER,0x406064,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()",/usr/include/c++/9/bits/unique_ptr.h:153,0x405316,"std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()",/usr/include/c++/9/bits/unique_ptr.h:290
1751729557633468528,51361,ENTER,0x406ec0,"std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1320,0x406094,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()",/usr/include/c++/9/bits/unique_ptr.h:153
1751729557633472894,51361,ENTER,0x4077ed,"std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1309,0x406ef0,"std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1321
1751729557633477186,51361,ENTER,0x407f1d,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:195,0x40781d,"std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1310
1751729557633481493,51361,ENTER,0x408322,"std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)",/usr/include/c++/9/tuple:160,0x407f4d,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:195
1751729557633485928,51361,EXIT,0x408322,"std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)",/usr/include/c++/9/tuple:160,0x407f4d,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:195
1751729557633490412,51361,EXIT,0x407f1d,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:195,0x40781d,"std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1310
1751729557633494664,51361,EXIT,0x4077ed,"std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1309,0x406ef0,"std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1321
1751729557633498954,51361,EXIT,0x406ec0,"std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1320,0x406094,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()",/usr/include/c++/9/bits/unique_ptr.h:153
1751729557633503232,51361,EXIT,0x406064,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()",/usr/include/c++/9/bits/unique_ptr.h:153,0x405316,"std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()",/usr/include/c++/9/bits/unique_ptr.h:290
1751729557633507538,51361,EXIT,0x4052e6,"std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()",/usr/include/c++/9/bits/unique_ptr.h:286,0x404292,"std::thread::thread<Worker::start()::{lambda()#1}, , void>(Worker::start()::{lambda()#1}&&)",/usr/include/c++/9/thread:130 (discriminator 5)
1751729557633511930,51361,EXIT,0x4041f0,"std::thread::thread<Worker::start()::{lambda()#1}, , void>(Worker::start()::{lambda()#1}&&)",/usr/include/c++/9/thread:117,0x40336c,Worker::start(),/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/Worker.hpp:16 (discriminator 2)
1751729557633516325,51361,ENTER,0x402ed2,std::thread::operator=(std::thread&&),/usr/include/c++/9/thread:149,0x403386,Worker::start(),/home/nhorro/workspace/learn-code-analysis/01_callgraphs/calcjob_instr/Worker.hpp:16 (discriminator 2)
1751729557633520617,51361,ENTER,0x402f94,std::thread::joinable() const,/usr/include/c++/9/thread:162,0x402f06,std::thread::operator=(std::thread&&),/usr/include/c++/9/thread:151
1751729557633524999,51361,ENTER,0x402e40,std::thread::id::id(),/usr/include/c++/9/thread:82,0x402fd3,std::thread::joinable() const,/usr/include/c++/9/thread:163
1751729557633529329,51361,EXIT,0x402e40,std::thread::id::id(),/usr/include/c++/9/thread:82,0x402fd3,std::thread::joinable() const,/usr/include/c++/9/thread:163
1751729557633533772,51361,ENTER,0x40301b,"std::operator==(std::thread::id, std::thread::id)",/usr/include/c++/9/thread:277,0x402fe6,std::thread::joinable() const,/usr/include/c++/9/thread:163
1751729557633528105,51362,ENTER,0x4089d8,std::thread::_State_impl<std::thread::_Invoker<std::tuple<Worker::start()::{lambda()#1}> > >::_M_run(),/usr/include/c++/9/thread:195,0x7ff21ab59df4,??,??:0
1751729557633538321,51361,EXIT,0x40301b,"std::operator==(std::thread::id, std::thread::id)",/usr/include/c++/9/thread:277,0x402fe6,std::thread::joinable() const,/usr/include/c++/9/thread:163
1751729557633565050,51362,ENTER,0x408a4e,std::thread::_Invoker<std::tuple<Worker::start()::{lambda()#1}> >::operator()(),/usr/include/c++/9/thread:247,0x408a0c,std::thread::_State_impl<std::thread::_Invoker<std::tuple<Worker::start()::{lambda()#1}> > >::_M_run(),/usr/include/c++/9/thread:195
1751729557633568840,51361,EXIT,0x402f94,std::thread::joinable() const,/usr/include/c++/9/thread:162,0x402f06,std::thread::operator=(std::thread&&),/usr/include/c++/9/thread:151
1751729557633573892,51362,ENTER,0x408ac0,void std::thread::_Invoker<std::tuple<Worker::start()::{lambda()#1}> >::_M_invoke<0ul>(std::_Index_tuple<0ul>),/usr/include/c++/9/thread:243,0x408a7e,std::thread::_Invoker<std::tuple<Worker::start()::{lambda()#1}> >::operator()(),/usr/include/c++/9/thread:251
1751729557633578262,51361,ENTER,0x402f44,std::thread::swap(std::thread&),/usr/include/c++/9/thread:158,0x402f22,std::thread::operator=(std::thread&&),/usr/include/c++/9/thread:154
